id;name;country_origin;branches;assets_bcra;opening_year
11;BANCO DE LA NACION ARGENTINA;Argentina;708;72810000000;1891
7;BANCO GALICIA;Argentina;316;35960000000;1905
72;BANCO SANTANDER;España;308;26390000000;1968
17;BANCO BBVA ;España;235;24830000000;1886
285;BANCO MACRO;Argentina;469;23500000000;1988
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;Argentina;408;20840000000;1822
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA;China;107;13230000000;2013
191;BANCO CREDICOOP COOPERATIVO;Argentina;276;10050000000;1979
34;BANCO PATAGONIA ;Argentina;200;9018822591;2000
29;BANCO DE LA CIUDAD DE BUENOS AIRES;Argentina;78;8362736317;1878
