id;product_id;date;average_effective_rate
1;1;2026-01;133.38
2;3;2026-01;268.85
3;3;2026-02;294.32
4;3;2026-03;274.51
5;3;2026-04;283
6;4;2026-01;18.92
7;4;2026-02;20.72
8;4;2026-03;19.32
9;4;2026-04;19.92
10;1;2026-02;146.02
11;1;2026-03;136.19
12;1;2026-04;140.4
13;2;2026-01;15.82
14;2;2026-02;17.32
15;2;2026-03;16.15
16;2;2026-04;16.65
17;11;2026-01;169.28
18;11;2026-02;185.32
19;11;2026-03;172.84
20;11;2026-04;178.19
21;12;2026-01;21.03
22;12;2026-02;23.03
23;12;2026-03;21.48
24;12;2026-04;22.14
25;13;2026-01;139.83
26;13;2026-02;153.08
27;13;2026-03;142.77
28;13;2026-04;147.19
29;14;2026-01;18
30;14;2026-02;19.71
31;14;2026-03;18.38
32;14;2026-04;18.95
33;7;2026-01;228.48
34;7;2026-02;250.13
35;7;2026-03;233.29
36;7;2026-04;240.51
37;8;2026-01;18.87
38;8;2026-02;20.65
39;8;2026-03;19.26
40;8;2026-04;19.86
41;19;2026-01;92.59
42;19;2026-02;101.36
43;19;2026-03;94.54
44;19;2026-04;97.46
45;20;2026-01;17.76
46;20;2026-02;19.44
47;20;2026-03;18.13
48;20;2026-04;18.69
49;17;2026-01;165.09
50;17;2026-02;180.73
51;17;2026-03;168.57
52;17;2026-04;173.78
53;18;2026-01;16.84
54;18;2026-02;18.44
55;18;2026-03;17.2
56;18;2026-04;17.73
57;5;2026-01;109.17
58;5;2026-02;119.52
59;5;2026-03;111.47
60;5;2026-04;114.92
61;6;2026-01;16.25
62;6;2026-02;17.79
63;6;2026-03;16.6
64;6;2026-04;17.11
65;15;2026-01;169.92
66;15;2026-02;186.01
67;15;2026-03;173.49
68;15;2026-04;178.86
69;16;2026-01;17.37
70;16;2026-02;19.01
71;16;2026-03;17.73
72;16;2026-04;18.28
73;9;2026-01;123
74;9;2026-02;134.65
75;9;2026-03;125.59
76;9;2026-04;129.47
77;10;2026-01;19.93
78;10;2026-02;21.82
79;10;2026-03;20.35
80;10;2026-04;20.98
