id;bank_id;type;minimum_amount;maximum_amount;minimum_term_days;maximum_term_days
1;11;personal_loan;100000;50000000;1;2160
2;11;savings_account;1500;;30;
3;7;personal_loan;500;24800000;1;2160
4;7;savings_account;100;;180;
5;72;personal_loan;10000;50000000;1;1800
6;72;savings_account;500;;60;
7;17;personal_loan;1000;70000000;1;2160
8;17;savings_account;1000;;30;
9;285;personal_loan;5000;10000000;1;2160
10;285;savings_account;300;;90;
11;14;personal_loan;100000;50000000;1;1080
12;14;savings_account;1000;;90;
13;15;personal_loan;20000;145000000;1;2880
14;15;savings_account;1000;;60;
15;191;personal_loan;3000;30000000;1;1800
16;191;savings_account;30000;;180;
17;34;personal_loan;10000;30000000;1;1800
18;34;savings_account;1000;;180;
19;29;personal_loan;1;40000000;1;2160
20;29;savings_account;100;;90;
