Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-12;PRESTAMOPERSONALUVA;PPUVA;UVA;2000000;500;24;310000;0;80;30,00;Todos los beneficiarios;4,00;30,00;Fija;37,00;956,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-12;PRESTAMOPERSONAL;PP;Pesos;24800000;500;72;310000;0;80;30,00;Todos los beneficiarios;4,00;283,00;Fija;398,00;1442,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-05-15;NACION PREVISIONAL;NACION PREVISIONAL;Pesos;50000000;100000;72;16654;0;88;35,00;Clientes que acrediten sueldos en la entidad;4,00;72,92;Fija;93,32;677,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-05-15;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;50000000;100000;72;363922;12;100;30,00;Clientes con cuenta en la entidad;4,00;140,40;Fija;186,76;922,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-05-15;ADELANTO DE HABERES;ADELANTO DE HABERES;Pesos;500000;50000;1;373918;1;100;50,00;Clientes que acrediten sueldos en la entidad;,00;140,51;Fija;186,76;10918,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-05-15;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;100000000;100000;72;363583;3;74;35,00;Clientes que acrediten sueldos en la entidad;4,00;72,86;Fija;93,32;583,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-05-15;MAS AUTOS CON BNA;MAS AUTOS;Pesos;100000000;1000000;72;145327;0;100;30,00;Todos los beneficiarios;4,00;57,50;Fija;72,30;509,00;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-05-11;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;28,07;Fija;28,07;5337,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-05-11;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;50000000;100000;36;1300;12;100;30,00;Personas humanas en relación de dependencia;4,00;178,19;Fija;178,19;10220,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-05-11;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;28,07;Fija;28,07;5337,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-05-11;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;50000000;100000;36;1300;12;100;30,00;Personas humanas en relación de dependencia;4,00;178,19;Fija;178,19;10220,00;Ciudad Autónoma de Buenos Aires;0
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.;Pesos;145000000;20000;96;1250000;0;79;30,00;Todos los beneficiarios;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7:ACREDITA HABERES PARA CABA, GBA Y PATAGONIA. CAMPO 16:96 MESES                           TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1000000;0;79;30,00;Clientes con cuenta en la entidad;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
