Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del plazo fijo;Nombre corto del plazo fijo;Denominación;Monto mínimo a invertir;Plazo mínimo a invertir;Canal de constitución;Tasa efectiva anual mínima;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOAJUSTABLEPORUVA;PFUVA;UVA;100;90 días;Ventanilla de sucursal;,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Pesos;100;30 días;Ventanilla de sucursal;18,98;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOPRECANCELABLEUVA;PFPRECANCELABLEUVA;UVA;100;90 días;Home banking;,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Pesos;100;180 días;Home banking;19,92;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOPRECANCELABLEUVA;PFPRECANCELABLEUVA;UVA;100;90 días;Ventanilla de sucursal;,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Pesos;100;30 días;Home banking;18,98;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,25;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Dólares estadounidenses;100;90 días;Ventanilla de sucursal;1,81;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOAJUSTABLEPORUVA;PFUVA;UVA;100;90 días;Home banking;,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Dólares estadounidenses;100;90 días;Home banking;1,81;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Dólares estadounidenses;100;30 días;Home banking;1,25;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-06-26;PLAZOFIJOTRADICIONAL;PFTRADICIONAL;Pesos;100;180 días;Ventanilla de sucursal;19,92;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO CON CANCELACION ANTICIPADA CERTIFICADO PRECANCELABLE;PRECANCELABLE;Pesos;5000;180 días;Ventanilla de sucursal;15,57;Todo el territorio nacional;
