Orden;Código de Entidad;Descripción de Entidad;Importe
1;11;BANCO DE LA NACION ARGENTINA;72.810.000.000
2;7;BANCO DE GALICIA Y BUENOS AIRES S.A.;35.960.000.000
3;72;BANCO SANTANDER ARGENTINA S.A.;26.390.000.000
4;17;BANCO BBVA ARGENTINA S.A.;24.830.000.000
5;285;BANCO MACRO S.A.;23.500.000.000
6;14;BANCO DE LA PROVINCIA DE BUENOS AIRES;20.840.000.000
7;15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;13.230.000.000
8;191;BANCO CREDICOOP COOPERATIVO LIMITADO;10.050.000.000
9;34;BANCO PATAGONIA S.A.;9.018.822.591
10;29;BANCO DE LA CIUDAD DE BUENOS AIRES;8.362.736.317
11;27;BANCO SUPERVIELLE S.A.;7.798.881.933
12;20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;6.331.361.633
13;330;NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA;4.637.203.984
14;299;BANCO COMAFI SOCIEDAD ANONIMA;3.834.118.377
15;322;BANCO INDUSTRIAL S.A.;3.334.599.367
16;44;BANCO HIPOTECARIO S.A.;3.250.344.528
17;70408;TARJETA NARANJA S.A.U.;2.653.153.363
18;97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2.001.224.739
19;386;NUEVO BANCO DE ENTRE RÍOS S.A.;1.906.638.911
20;321;BANCO DE SANTIAGO DEL ESTERO S.A.;1.661.784.729
21;93;BANCO DE LA PAMPA SA;1.490.887.814
22;45;BANCO DE SAN JUAN S.A.;1.271.165.507
23;311;NUEVO BANCO DEL CHACO S. A.;1.256.182.579
24;319;BANCO CMF S.A.;1.007.718.213
25;94;BANCO DE CORRIENTES S.A.;962.622.154
26;165;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS AIRES);902.166.588
27;83;BANCO DEL CHUBUT S.A.;871.197.894
28;254;BANCO MARIVA S.A.;830.928.546
29;310;BANCO DEL SOL S.A.;805.467.795
30;86;BANCO DE SANTA CRUZ S.A.;753.225.243
31;389;BANCO COLUMBIA S.A.;648.272.833
32;315;BANCO DE FORMOSA S.A.;591.639.307
33;384;UALA BANK S.A.U.;573.483.199
34;338;BANCO DE SERVICIOS Y TRANSACCIONES SAU;570.121.947
35;65;BANCO MUNICIPAL DE ROSARIO;559.751.246
36;431;BANCO COINAG S.A.;451.802.203
37;44092;FCA COMPAÑIA FINANCIERA S.A.;423.146.933
38;268;BANCO PROVINCIA DE TIERRA DEL FUEGO;421.997.472
39;332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;384.632.671
40;301;BANCO PIANO S.A.;378.302.555
41;55303;FINANCE GROUP SRL;360.708.823
42;44095;ROMBO COMPAÑÍA FINANCIERA S.A.;331.313.620
43;44093;GPAT COMPAÑIA FINANCIERA S.A.U.;328.761.166
44;143;BRUBANK S.A.U.;324.757.638
45;309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;299.077.387
46;44099;TOYOTA COMPAÑÍA FINANCIERA DE ARGENTINA S.A.;262.341.658
47;340;BACS BANCO DE CREDITO Y SECURITIZACION S.A.;260.704.261
48;312;BANCO VOII S.A.;240.965.233
49;247;BANCO ROELA S.A.;214.098.053
50;147;BIBANK S.A.;176.388.060
51;44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;176.196.478
52;432;BANCO DE COMERCIO S.A.;134.007.752
53;45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;133.585.161
54;44077;COMPAÑIA FINANCIERA ARGENTINA S.A.;121.174.226
55;45072;REBA COMPAÑIA FINANCIERA S.A.;112.315.268
56;277;BANCO SAENZ S.A.;76.419.998
57;305;BANCO JULIO SOCIEDAD ANONIMA;67.159.205
58;448;BANCO DINO S.A.;64.254.166
59;131;BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES;62.028.793
60;281;BANCO MERIDIAN S.A.;59.430.062
61;341;BANCO MASVENTAS S.A.;40.003.519
62;269;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;13.582.302
63;65203;CRÉDITO REGIONAL COMPAÑÍA FINANCIERA S.A.U.;9.198.411
64;435;BANCO SUCREDITO REGIONAL S.A.U.;9.122.235
